INFO  - [SOLR] - 2018-06-12 15:15:23.890; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - [SOLR] - 2018-06-12 15:15:23.904; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: /home/dothr/app/solr-4.3.0/example/solr
INFO  - [SOLR] - 2018-06-12 15:15:23.914; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /home/dothr/app/solr-4.3.0/example/solr/solr.xml
INFO  - [SOLR] - 2018-06-12 15:15:23.917; org.apache.solr.core.CoreContainer; New CoreContainer 1095410655
INFO  - [SOLR] - 2018-06-12 15:15:23.919; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: '/home/dothr/app/solr-4.3.0/example/solr/'
INFO  - [SOLR] - 2018-06-12 15:15:23.919; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/dothr/app/solr-4.3.0/example/solr/'
INFO  - [SOLR] - 2018-06-12 15:15:24.395; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - [SOLR] - 2018-06-12 15:15:24.395; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - [SOLR] - 2018-06-12 15:15:24.395; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - [SOLR] - 2018-06-12 15:15:24.395; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - [SOLR] - 2018-06-12 15:15:24.396; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - [SOLR] - 2018-06-12 15:15:24.396; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - [SOLR] - 2018-06-12 15:15:24.396; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - [SOLR] - 2018-06-12 15:15:24.396; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - [SOLR] - 2018-06-12 15:15:24.396; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - [SOLR] - 2018-06-12 15:15:24.423; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - [SOLR] - 2018-06-12 15:15:24.679; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - [SOLR] - 2018-06-12 15:15:24.694; org.apache.solr.core.CoreContainer; Creating SolrCore 'core' using instanceDir: /home/dothr/app/solr-4.3.0/example/solr/core
INFO  - [SOLR] - 2018-06-12 15:15:24.695; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/dothr/app/solr-4.3.0/example/solr/core/'
INFO  - [SOLR] - 2018-06-12 15:15:24.698; org.apache.solr.core.CoreContainer; Creating SolrCore 'coreModel' using instanceDir: /home/dothr/app/solr-4.3.0/example/solr/coreModel
INFO  - [SOLR] - 2018-06-12 15:15:24.698; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/dothr/app/solr-4.3.0/example/solr/coreModel/'
INFO  - [SOLR] - 2018-06-12 15:15:24.712; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/example/solr/core/lib/numberFilterTce.jar' to classloader
